tanggal,value,temp_mini_tank,temp_nozzle,temp_nozzle_filler
2023-08-05 10:00:00,114,-180.0,22.0,-188.0
2023-08-05 11:00:00,107,-181.0,22.0,-189.0
2023-08-06 09:00:00,114,-181.0,22.0,-170.0
2023-08-06 10:00:00,114,-180.0,22.0,-171.0
2023-08-06 11:00:00,113,-180.0,22.0,-185.0
2023-08-10 09:00:00,111,-179.0,21.0,-171.0
2023-08-10 10:00:00,108,-179.0,21.0,-187.0
2023-08-10 11:00:00,107,-180.0,21.0,-187.0
2023-08-11 01:00:00,113,-181.0,21.0,-183.0
2023-08-11 09:00:00,108,-180.0,21.0,-165.0
2023-08-11 10:00:00,111,-178.0,21.0,-185.0
2023-08-11 11:00:00,117,-179.0,21.0,-167.0
2023-08-12 02:00:00,117,-181.0,21.0,-184.0
2023-08-12 05:00:00,112,-180.0,21.0,-189.0
2023-08-13 10:00:00,112,-180.0,21.0,-191.0
2023-08-14 08:00:00,110,-181.0,21.0,-185.0
2023-08-14 09:00:00,111,-181.0,21.0,-184.0
2023-08-14 10:00:00,109,-181.0,21.0,-192.0
2023-08-14 11:00:00,109,-180.0,21.0,-191.0
2023-08-15 08:00:00,115,-179.0,21.0,-186.0
2023-08-15 09:00:00,112,-180.0,21.0,-176.0
2023-08-15 10:00:00,107,-181.0,21.0,-189.0
2023-08-15 11:00:00,108,-180.0,21.0,-188.0
2023-08-16 03:00:00,116,-182.0,21.0,-179.0
2023-08-16 05:00:00,116,-181.0,21.0,-172.0
2023-08-16 00:00:00,113,-181.0,20.0,-172.0
2023-08-21 08:00:00,113,-181.0,21.0,-178.0
2023-08-21 09:00:00,110,-180.0,21.0,-166.0
2023-08-21 10:00:00,111,-180.0,21.0,-175.0
2023-08-25 10:00:00,113,-179.0,21.0,-157.0
2023-08-25 11:00:00,111,-179.0,21.0,-164.0
2023-08-26 08:00:00,111,-179.0,21.0,-190.0
2023-08-26 09:00:00,119,-180.0,20.0,-162.0
2023-08-26 10:00:00,115,-180.0,20.0,-191.0
2023-08-28 07:00:00,112,-179.0,21.0,-180.0
2023-08-28 08:00:00,111,-179.0,21.0,-188.0
2023-08-28 09:00:00,111,-180.0,21.0,-191.0
2023-08-28 10:00:00,111,-179.0,21.0,-183.0
2023-08-28 11:00:00,109,-180.0,21.0,-188.0
2023-08-29 07:00:00,112,-180.0,21.0,-162.0
2023-08-29 09:00:00,112,-181.0,21.0,-191.0
2023-08-29 10:00:00,116,-181.0,21.0,-180.0
2023-08-29 11:00:00,111,-181.0,20.0,-192.0
2023-08-30 01:00:00,112,-181.0,20.0,-188.0
2023-08-30 03:00:00,116,-180.0,20.0,-186.0
2023-08-30 04:00:00,115,-180.0,20.0,-167.0
2023-08-30 08:00:00,111,-180.0,21.0,-190.0
2023-09-01 08:00:00,113,-177.0,25.0,-160.0
2023-09-01 09:00:00,111,-179.0,23.0,-187.0
2023-09-01 10:00:00,110,-178.0,22.0,-180.0
2023-09-01 11:00:00,111,-178.0,22.0,-188.0
2023-09-02 05:00:00,116,-178.0,20.0,-167.0
2023-09-02 06:00:00,113,-179.0,20.0,-176.0
2023-09-02 09:00:00,111,-179.0,21.0,-169.0
2023-09-02 10:00:00,112,-179.0,21.0,-180.0
2023-09-03 03:00:00,114,-180.0,20.0,-168.0
2023-09-03 08:00:00,113,-179.0,20.0,-169.0
2023-09-27 01:00:00,127,-176.0,21.0,-152.0
2023-09-27 09:00:00,121,-177.0,21.0,-152.0
2023-09-28 08:00:00,128,-177.0,21.0,-169.0
2023-09-28 09:00:00,130,-177.0,21.0,-160.0
2023-09-28 10:00:00,124,-177.0,21.0,-189.0
2023-09-28 11:00:00,128,-177.0,21.0,-188.0
2023-09-29 08:00:00,117,-174.0,22.0,-189.0
2023-10-01 07:00:00,127,-176.0,22.0,-168.0
2023-10-02 08:00:00,124,-176.0,21.0,-160.0
2023-10-02 09:00:00,119,-175.0,21.0,-162.0
2023-10-02 11:00:00,112,-177.0,21.0,-170.0
2023-10-13 06:00:00,137,-174.0,22.0,-166.0
2023-10-13 11:00:00,116,-173.0,23.0,-140.0
2023-10-17 10:00:00,134,-176.0,21.0,-156.0
2023-10-23 11:00:00,129,-177.0,22.0,-165.0
2023-10-24 11:00:00,124,-178.0,21.0,-169.0
2023-10-25 08:00:00,136,-179.0,21.0,-179.0
2023-10-26 11:00:00,128,-179.0,20.0,-166.0
2023-10-27 10:00:00,132,-179.0,20.0,-192.0
2023-10-27 11:00:00,133,-179.0,20.0,-169.0
2023-10-28 11:00:00,135,-180.0,20.0,-169.0
2023-10-29 03:00:00,131,-180.0,20.0,-191.0
2023-10-29 09:00:00,127,-181.0,20.0,-189.0
2023-11-03 09:00:00,130,-177.0,21.0,-162.0
2023-11-03 11:00:00,127,-176.0,21.0,-176.0
2023-11-04 07:00:00,125,-177.0,21.0,-165.0
2023-11-04 09:00:00,124,-177.0,20.0,-188.0
2023-11-04 10:00:00,126,-177.0,20.0,-158.0
2023-11-04 11:00:00,129,-178.0,20.0,-171.0
2023-11-06 01:00:00,134,-178.0,21.0,-159.0
2023-11-06 10:00:00,128,-176.0,22.0,-155.0
2023-11-07 08:00:00,126,-177.0,21.0,-185.0
2023-11-07 09:00:00,129,-177.0,20.0,-179.0
2023-11-08 03:00:00,132,-178.0,20.0,-168.0
2023-11-11 09:00:00,130,-177.0,23.0,-162.0
2023-11-11 11:00:00,127,-178.0,22.0,-173.0
2023-11-12 05:00:00,124,-177.0,22.0,-180.0
2023-11-12 00:00:00,126,-177.0,22.0,-170.0
2023-11-13 09:00:00,128,-175.0,23.0,-172.0
2023-11-13 11:00:00,128,-177.0,22.0,-167.0
2023-11-14 00:00:00,127,-177.0,21.0,-156.0
2023-11-15 07:00:00,129,-178.0,21.0,-160.0
2023-11-16 02:00:00,128,-179.0,21.0,-187.0
2023-11-16 09:00:00,129,-178.0,21.0,-191.0
2023-11-16 11:00:00,131,-178.0,21.0,-176.0
2023-11-20 03:00:00,136,-177.0,26.0,-160.0
2023-11-20 05:00:00,136,-177.0,23.0,-188.0
2023-11-20 06:00:00,126,-177.0,23.0,-188.0
2023-11-24 02:00:00,132,-178.0,21.0,-170.0
2023-11-24 07:00:00,125,-176.0,22.0,-153.0
2023-11-24 10:00:00,132,-178.0,21.0,-175.0
2023-11-24 11:00:00,131,-179.0,21.0,-191.0
2023-11-26 06:00:00,128,-179.0,21.0,-191.0
2023-11-26 11:00:00,130,-178.0,22.0,-160.0
2023-11-30 00:00:00,132,-177.0,21.0,-160.0
2023-12-02 06:00:00,139,-177.0,21.0,-147.0
2023-12-02 09:00:00,131,-175.0,22.0,-190.0
2023-12-02 11:00:00,131,-176.0,22.0,-147.0
2023-12-03 03:00:00,135,-177.0,22.0,-186.0
2023-12-05 01:00:00,129,-178.0,22.0,-172.0
2023-12-05 05:00:00,129,-178.0,21.0,-182.0
2023-12-08 08:00:00,131,-176.0,25.0,-176.0
2023-12-09 11:00:00,131,-177.0,22.0,-187.0
2023-12-10 04:00:00,135,-177.0,21.0,-167.0
2023-12-11 03:00:00,132,-177.0,22.0,-183.0
2023-12-11 09:00:00,130,-178.0,21.0,-180.0
2023-12-11 10:00:00,131,-177.0,21.0,-157.0
2023-12-11 11:00:00,132,-178.0,21.0,-177.0
2023-12-12 07:00:00,129,-176.0,22.0,-179.0
2023-12-12 09:00:00,131,-179.0,21.0,-171.0
2023-12-12 10:00:00,129,-178.0,21.0,-188.0
2023-12-13 09:00:00,133,-178.0,21.0,-165.0
2023-12-13 11:00:00,128,-176.0,22.0,-170.0
2023-12-14 09:00:00,128,-177.0,21.0,-186.0
2023-12-14 10:00:00,129,-178.0,21.0,-162.0
2023-12-18 05:00:00,131,-177.0,21.0,-162.0
2023-12-18 08:00:00,134,-177.0,21.0,-150.0
2023-12-18 09:00:00,130,-177.0,21.0,-164.0
2023-12-19 03:00:00,137,-177.0,21.0,-163.0
2023-12-19 08:00:00,133,-178.0,21.0,-179.0
2023-12-19 09:00:00,135,-178.0,21.0,-185.0
2023-12-19 10:00:00,133,-177.0,22.0,-170.0
2023-12-19 11:00:00,132,-178.0,21.0,-185.0
2023-12-20 04:00:00,129,-175.0,21.0,-177.0
2023-12-20 08:00:00,134,-178.0,21.0,-158.0
2023-12-20 09:00:00,128,-178.0,21.0,-167.0
2023-12-20 10:00:00,133,-176.0,21.0,-187.0
2023-12-20 11:00:00,132,-178.0,21.0,-165.0
2023-12-21 09:00:00,127,-178.0,21.0,-190.0
2023-12-21 10:00:00,125,-179.0,21.0,-165.0
2023-12-21 11:00:00,133,-178.0,21.0,-181.0
2023-12-22 03:00:00,131,-180.0,21.0,-188.0
2023-12-22 09:00:00,127,-180.0,21.0,-173.0
2023-12-22 11:00:00,128,-180.0,21.0,-183.0
2023-12-23 06:00:00,130,-180.0,21.0,-189.0
2023-12-24 09:00:00,125,-180.0,22.0,-182.0
2023-12-27 09:00:00,128,-177.0,23.0,-152.0
2023-12-28 06:00:00,131,-177.0,22.0,-164.0
2023-12-30 08:00:00,129,-178.0,21.0,-191.0
2023-12-30 09:00:00,131,-178.0,22.0,-190.0
2023-12-30 10:00:00,126,-178.0,21.0,-183.0
2023-12-30 11:00:00,127,-178.0,21.0,-190.0
2023-12-30 00:00:00,132,-178.0,21.0,-164.0
2023-12-31 01:00:00,131,-178.0,21.0,-175.0
